Work item ID,Parent,External Task ID,Work type,Summary,Description,Acceptance Criteria,Priority,Story point estimate,Module,Dependency Codes,Responsible Role,Phase,Planned Sprint,Status
131,20,ECM-109,Task,Rate limiting,Bucket4j + Redis cho login va API nhay cam,Vuot nguong tra 429; bao ve login brute-force,High,3,Security,ECM-016,BE-Sr,Phase 1,Sprint 6,Backlog
132,20,ECM-110,Task,Hardening validation + OWASP,Chong SQLi/XSS/IDOR; siet validation input,Khong co lo hong OWASP nghiem trong; input duoc validate,High,3,Security,ECM-015,BE-Sr,Phase 1,Sprint 6,Backlog
133,20,ECM-111,Task,Secret management + HTTPS/TLS,Quan ly secret + TLS + security headers,Khong commit secret; HTTPS bat buoc; headers an toan,High,2,Security,ECM-002,DevOps,Phase 0,Sprint 0,Backlog
134,20,ECM-112,Task,PII + chuan bi GDPR/PCI,Xu ly PII + audit + khong luu the tho,Khong luu the tho; PII duoc bao ve va audit,Medium,3,Security,ECM-012,BE-Sr,Phase 1,Sprint 6,Backlog
135,20,ECM-113,Task,Quet bao mat dinh ky,Dependency/Trivy scan + chuan bi pen-test,Quet bao mat tu dong; xu ly lo hong phat hien,Medium,2,Security,ECM-008,DevOps,Phase 1,Sprint 6,Backlog
136,21,ECM-114,Task,Cache Redis cho catalog,Cache catalog/category + chien luoc invalidation,Cache giam tai DB; invalidate dung khi du lieu doi,Medium,5,Platform,ECM-030,BE-Sr,Phase 1,Sprint 6,Backlog
137,21,ECM-115,Task,Toi uu index + query,"Ra soat N+1, slow query, them index",Loai bo N+1; query cham duoc toi uu,Medium,3,Platform,ECM-031,BE-Sr,Phase 1,Sprint 6,Backlog
138,21,ECM-116,Task,Metrics Prometheus + Grafana,Micrometer -> Prometheus + dashboard Grafana,Metric thu thap duoc; co dashboard,Medium,3,Platform,ECM-011,DevOps,Phase 1,Sprint 6,Backlog
139,21,ECM-117,Task,Distributed tracing,OpenTelemetry tracing,Trace xuyen request giua cac thanh phan,Low,3,Platform,ECM-007,DevOps,Phase 2,Sprint 12,Backlog
140,21,ECM-118,Task,Load test luong mua hang,k6/Gatling + bao cao hieu nang,Dat muc tieu p95; phat hien diem nghen,Medium,5,Platform,ECM-061,QA,Phase 2,Sprint 12,Backlog
141,22,ECM-119,Task,Thiet lap nen test + nguong coverage,JUnit5/Mockito + nguong coverage trong CI,CI chan merge khi coverage duoi nguong,High,3,QA,ECM-008,QA,Phase 1,Sprint 1,Backlog
142,22,ECM-120,Task,Integration test luong dat hang,Testcontainers cho luong dat hang + test dong thoi ton kho,Test dat hang xanh; test dong thoi chung minh khong oversell,High,5,QA,ECM-061,QA,Phase 1,Sprint 5,Backlog
143,22,ECM-121,Task,Contract test API,Kiem tra response API khop OpenAPI,Phat hien lech contract som,Medium,3,QA,ECM-006,QA,Phase 1,Sprint 6,Backlog
144,22,ECM-122,Task,E2E happy path,Tu dong hoa search->cart->order->payment,Happy path chay tu dong xanh,Medium,5,QA,ECM-072,QA,Phase 1,Sprint 6,Backlog
145,22,ECM-123,Task,Trien khai Staging + UAT,Deploy staging + chay UAT + checklist nghiem thu,MVP qua UAT tren staging (moc M1),High,3,QA,ECM-122,DevOps,Phase 1,Sprint 6,Backlog
146,22,ECM-124,Task,Release production + runbook,Release prod + runbook + rollback plan,Release prod thanh cong; co runbook va rollback,High,3,QA,ECM-123,Lead,Phase 2,Sprint 12,Backlog
